group,item_id,stratum,court,year,gold,lexical,issue,passage
context broke it,c8408531-0,CTRL_HOLD,ca9,2004,DECIDED,DECIDED,"the procedural challenges to the Water Master’s ruling, but conclude that the district court adopted an incorrect legal standard for evaluating a petition to reclassify project land","sues, the heart of their challenge to the district court’s order centers on the legal standard adopted by the court in 1994 when it authorized the Water Master to reclassify Project farm land from “bottom” to “bench” on the basis of a reduction in crop yield. [[We reject]] the procedural challenges to the Water Master’s ruling, but conclude that the district court adopted an incorrect legal standard for evaluating a petition to reclassify project land. As we explain, the Water Master may approve a reclassification petition only when there has been a reasonably signif"
context broke it,934741-0,H1,ca10,2013,UNRESOLVED,UNRESOLVED,the issue because it is raised only in a footnote and was not raised in the district court,"unclear as to whether the marijuana included stems and stalks which should have been excluded from the net weight. See 21 U.S.C. § 802(16) (defining marijuana for purposes of the Controlled Substances Act as not including “the mature stalks” of the plant). We [[decline to address]] the issue because it is raised only in a footnote and was not raised in the district court. See United States v. Hardman, 297 F.3d 1116, 1131 (10th Cir. 2002) (en banc) (“Arguments raised in a perfunctory manner, such as in a footnote, are waived.”); see also United States v. Mora, 293 F.3d 1213, 1"
context broke it,3038181-0,H1,ca8,2005,UNRESOLVED,UNRESOLVED,"sexual orientation qualifies as a Batson classification, Johnson v","iting Batson, 476 U.S. at 98 n.21). Although the California Supreme Court has held sexual orientation should be a protected class for jury selection purposes, see People v. -9- Garcia, 92 Cal. Rptr. 2d 339, 347-48 (2000), and the Ninth Circuit has assumed, [[without deciding]] , sexual orientation qualifies as a Batson classification, Johnson v. Campbell, 92 F.3d 951, 953 (9th Cir. 1996), neither the United States Supreme Court nor this circuit has so held. While we seriously doubt Batson and its progeny extend federal constitutional protection to a venire panel member’"
context broke it,11128307-0,H2,ca3,2025,UNRESOLVED,UNRESOLVED,"whether the two Sang Goo Park exceptions apply to a self-certification denial as well, they nonetheless would not permit us to review Abdulla’s self-certification claim","ethod, such that the BIA’s discretion can be meaningfully reviewed for abuse.” Id. at 653. We concluded that these exceptions “d[id] not lead to the reasonable inference that the BIA ha[d limited its discretion]” in that case. Id. at 656. 10 If we assume ( [[without deciding]] ) that the two Sang Goo Park exceptions apply to a self-certification denial as well, they nonetheless would not permit us to review Abdulla’s self-certification claim. Abdulla does not claim that the BIA relied on any incorrect legal premise in declining to self- certify Abdulla’s appeal. Nor has A"
context broke it,748421-0,H1,ca10,1997,UNRESOLVED,UNRESOLVED,this point because of Gallegos’ concession that her family circumstances alone do not take her case out of the heartland,"b, 49 F.3d 636, 638-39 (10th Cir.1995) (stating that being the sole caretaker of a child is not extraordinary); United States v. Ziegler, 39 F.3d 1058, 1062 (10th Cir.1994) (stating that supporting three children is not extraordinary). However, it is [[unnecessary to reach]] this point because of Gallegos’ concession that her family circumstances alone do not take her case out of the heartland. 9 . The guidelines state: Conviction by trial, however, does not automatically preclude a defendant from consideration for such a reduction. In rare situation"
context broke it,186687-1,H2,cadc,2006,UNRESOLVED,UNRESOLVED,"this question, because even if it was error for the District Court to impose the disputed conditions without giving advance notice to Sullivan, it most certainly was not reversible error under the pla","orneys to comment on the probation officer's determinations and other matters relating to an appropriate sentence."" FED. R. CRIM. P. 32(i)(1)(C). Imposing conditions that were never forecast to a defendant, appellant argues, runs afoul of this requirement. We [[need not decide]] this question, because even if it was error for the District Court to impose the disputed conditions without giving advance notice to Sullivan, it most certainly was not reversible error under the plain error rule. 45 Sullivan's argument that the District Court committed error in failing t"
context broke it,205784-0,PLAIN,ca2,2011,UNRESOLVED,UNRESOLVED,"whether allegations of emotional and psychological harm would *647 establish compensable injury in a First Amendment retaliation claim. [9] Zherka did allege both, but in a most cursory fashion","ified, the claim may proceed. Allegations of loss of business or some other tangible injury as a result of a defendant's statements would suffice to establish concrete harm. But the presumed injury of New York's theory of per se defamation is inadequate. We [[need not decide]] if allegations of emotional and psychological harm would *647 establish compensable injury in a First Amendment retaliation claim. [9] Zherka did allege both, but in a most cursory fashion. As pleaded, the allegations are insufficient to establish facial plausibility under the standard set by Bell"
context broke it,167373-0,H1,ca10,2006,UNRESOLVED,UNRESOLVED,whether the regulations of the trucking industry in Kansas performed the two basic functions of a warrant” as Burger requires,"dustry and that the Kansas regulatory *1245 scheme applicable to those motor carriers properly permits state troopers to stop commercial vehicles randomly for inspection. See United States v. Burch, 153 F.3d 1140, 1142 (10th Cir.1998) (“assum[ing] [[without deciding]] that the regulations of the trucking industry in Kansas performed the two basic functions of a warrant” as Burger requires); Seslar, 996 F.2d at 1063 n. 3 (“assum[ing], without holding, that Kansas closely regulates the motor carrier industry and that the Kansas regulatory scheme satisf"
context broke it,c739077-0,CTRL_HOLD,ca5,1997,DECIDED,DECIDED,whether Canada’s distribution of materials involving the sexual exploitation of minors with a purpose of enticing another person to have sex with him is sufficient to trigger the enhancement character,of pecuniary gain. 4 The sentencing court found that Canada had distributed the material at issue for the purpose of enticing the thirteen-year-old minor to have sex with him. Canada does not challenge this factual finding of the sentencing court. [[We hold]] that Canada’s distribution of materials involving the sexual exploitation of minors with a purpose of enticing another person to have sex with him is sufficient to trigger the enhancement characteristic in § 2G2.2(b)(2). While § 2G2.2(b)(2) calls upon the sentencing court to impose enhancement base
context broke it,4297542-0,H2,ca5,2018,UNRESOLVED,UNRESOLVED,"whether this error was an obvious one under our case law, which addresses improper bolstering of law enforcement witnesses (not co-conspirators) during closing argument (not witness examination). 2 Se","ncis , 170 F.3d 546 , 550-51 (6th Cir. 1999) (finding improper bolstering when the prosecutor elicited testimony suggesting that a plea agreement only materialized after the government determined the witness's statements to be truthful). But we [[need not decide]] whether this error was an obvious one under our case law, which addresses improper bolstering of law enforcement witnesses (not co-conspirators) during closing argument (not witness examination). 2 See, e.g. , United States v. Aguilar , 645 F.3d 319 , 323-26 (5th Cir. 2011) ;"
context broke it,9806863-0,PLAIN,ca11,2015,UNRESOLVED,UNRESOLVED,"a decision on that question, however, to decide this case, which comes to us on appeal from a bench trial","sdiction as a result. We have jurisdiction over the appeal pursuant to 28 U.S.C. § 1291. . The parties dispute whether a material-misrepresentation claim under the doctrine of uberrimae fidei must be pleaded with particularity. See Fed.R.Civ.P. 9(b). We [[need not reach]] a decision on that question, however, to decide this case, which comes to us on appeal from a bench trial. . The parties have stipulated that O’Neill paid $225,000 to fund the repairs recommended by the Price survey report. . The District Court heard the following exchange at trial betw"
context broke it,c4095572-0,CTRL_HOLD,cafc,2016,DECIDED,DECIDED,whether the court lacked subject matter jurisdiction under § 1500,",” he provides no explanation or support for his position. Informal Br. 12. Because the Court of Federal Claims correctly determined that Hood’s complaint in Case Number 15-1501 was based on the same set of operative facts as his pending Sixth Circuit appeal, [[we agree]] that the court lacked subject matter jurisdiction under § 1500. As explained below, however, even if Hood’s claims in Case Number 15-1501 were not statutorily-barred by 28 U.S.C. § 1500, we find no error in the Court of Federal Claims’ decision dismissing that complaint on other grounds. B. C"
context broke it,9477840-0,H2,ca9,1988,UNRESOLVED,UNRESOLVED,whether his appeal because Malone failed to perfect his appeal under rule 4(a) of the Federal Rules of Appellate Procedure,"WALLACE, Circuit Judge: Malone seeks to appeal the dismissal by the district court of his petition for a writ of habeas corpus. We [[do not reach]] the merits of his appeal because Malone failed to perfect his appeal under rule 4(a) of the Federal Rules of Appellate Procedure. I The judgment denying Malone’s petition was entered on September 24, 1986. No appeal was taken within the 30-day period prescribed by rule 4(a)(1) of the Federal *5"
context broke it,380955-0,H1,ca1,1980,UNRESOLVED,UNRESOLVED,whether the distinction between a complete and partial closing recognized in Textile Workers is significant in a mandatory bargaining case,"employer to bargain concerning a purely business decision to terminate his enterprise. Cf. Fibreboard Paper Products Corp. v. Labor Board, 379 U.S. 203, 85 S.Ct. 398, 13 L.Ed.2d 233."" Id. at 267 n. 5, 85 S.Ct. at 998. Since the issue is not before us, we [[express no opinion]] as to whether the distinction between a complete and partial closing recognized in Textile Workers is significant in a mandatory bargaining case. 7 The dissent maintains that despite our purported rejection of a per se rule favoring the imposition of the duty to bargain, in effect one has"
context broke it,c3009440-1,CTRL_HOLD,ca7,2015,DECIDED,DECIDED,"no clear error because the United States Sentencing Guidelines do not prohibit the application of both enhancements, and the two enhancements punished different conduct here","after he bought expensive cars and other items for his own benefit out of settlement funds meant for his sister’s surviving children. Although Burnett maintains he should not have received both vulnerable victim and abuse of a position of trust enhancements, [[we find]] no clear error because the United States Sentencing Guidelines do not prohibit the application of both enhancements, and the two enhancements punished different conduct here. We affirm the judg-. ments in both cases. I. BACKGROUND On September 5, 2009, Tyotis Fields was driving to the c"
context broke it,r810009-0,CTRL_RAND,ca5,2012,DECIDED,DECIDED,the record shows that *405 Pierre knowingly and intelligently waived her right to a jury trial,"a “substantial showing of the denial of [her] constitutional right” to a jury trial. 28 U.S.C. § 2253(c)(2); Slack v. McDaniel, 529 U.S. 473, 484, 120 S.Ct. 1595, 146 L.Ed.2d 542 (2000). 1 Accordingly, we granted a certificate of appealability on [[the issue of whether]] the record shows that *405 Pierre knowingly and intelligently waived her right to a jury trial. II. STANDARD OF REVIEW This court has jurisdiction over this ha-beas corpus proceeding pursuant to 28 U.S.C. § 2253(a). In an appeal from a denial of a habeas petition, we review the di"
context broke it,6942832-2,H2,cadc,1996,UNRESOLVED,UNRESOLVED,whether appellant established good cause under section 501,"secure an accounting or other appropriate relief for the benefit of the labor organization”). We therefore remand the supplemental strike benefit claim to the District Court for consideration under section 501. As to the remaining claims on this appeal, we [[need not decide]] whether appellant established good cause under section 501. We conclude, after reviewing the record de novo, Tao v. Freeh, 27 F.3d 635, 638 (D.C.Cir. 1994), that on the merits summary judgment in favor of appellees was proper. III. Conclusion We hold that the District Court erred in applying th"
context broke it,4413321-0,PLAIN,ca1,2019,UNRESOLVED,UNRESOLVED,"whether Intra-Lock's OSSEAN mark, as described in its complaint, constituted an ""advertising idea."" Rather than *8 drill down into this muddy terrain, we simply assume, favorably to Sterngold, that In","iciting business."" Vibram , 106 N.E.3d at 579 (quoting Auto Sox USA , 88 P.3d at 1011 ). On the other hand, the mark could be thought to convey no idea but, rather, to serve as a reference to the product itself. Here, however, we [[need not decide]] the question of whether Intra-Lock's OSSEAN mark, as described in its complaint, constituted an ""advertising idea."" Rather than *8 drill down into this muddy terrain, we simply assume, favorably to Sterngold, that Intra-Lock's complaint advanced a claim for an advertising injury. Even w"
